                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 2.4639,                 1.9339,                 1.7552,                0.56886,                0.23704,                0.26382,                0.09006,                 2.3579,                 1.9545,                 1.9751,               0.001067,               0.001067,               0.001067
                    102,                 2.3665,                 1.9993,                 1.8688,                0.67825,                0.24713,                0.25666,                0.08971,                 2.4008,                 1.9746,                 2.0022,              0.0010666,              0.0010666,              0.0010666
                    103,                 2.3504,                 1.9901,                 1.7977,                 0.5013,                0.33061,                0.27873,                0.09259,                 2.3124,                 1.8706,                 1.9392,              0.0010661,              0.0010661,              0.0010661
                    104,                 2.2751,                 2.0012,                 1.8386,                0.54544,                0.31089,                0.29124,                0.10193,                 2.2343,                 1.8027,                 1.8897,              0.0010657,              0.0010657,              0.0010657
                    105,                 2.3782,                 2.0921,                 1.8145,                0.66764,                0.27829,                0.31934,                0.11221,                 2.2531,                 1.8203,                 1.9103,              0.0010652,              0.0010652,              0.0010652
                    106,                 2.2881,                 1.9092,                 1.7983,                 0.7322,                0.27379,                0.32893,                0.11736,                 2.2359,                 1.8787,                  1.902,              0.0010648,              0.0010648,              0.0010648
                    107,                 2.3665,                 2.0898,                 1.8525,                0.55574,                0.32376,                0.35093,                0.13773,                 2.1934,                 1.9183,                 1.8668,              0.0010644,              0.0010644,              0.0010644
                    108,                  2.294,                   1.77,                 1.7306,                0.66969,                0.31039,                0.34145,                0.13541,                 2.1857,                 1.9443,                 1.8397,              0.0010639,              0.0010639,              0.0010639
                    109,                  2.305,                 1.9075,                 1.8038,                0.58912,                0.32376,                0.41279,                0.13437,                 2.2802,                 1.7989,                 1.9052,              0.0010635,              0.0010635,              0.0010635
                    110,                 2.3155,                 1.8564,                 1.7957,                0.46403,                 0.3074,                0.34179,                0.11992,                 2.2929,                 1.8504,                 1.9502,               0.001063,               0.001063,               0.001063
                    111,                  2.316,                 1.9389,                 1.7805,                 0.5859,                0.29117,                0.34442,                0.13116,                   2.33,                 1.8557,                 1.9438,              0.0010626,              0.0010626,              0.0010626
                    112,                 2.4259,                 1.9743,                 1.8599,                0.69807,                0.26446,                0.34894,                0.13328,                 2.2167,                 1.8515,                 1.8488,              0.0010622,              0.0010622,              0.0010622
                    113,                 2.3264,                 1.9468,                 1.8502,                0.69436,                0.33911,                0.35358,                0.13473,                 2.2009,                 1.9293,                  1.799,              0.0010617,              0.0010617,              0.0010617
                    114,                 2.2728,                  1.824,                 1.6816,                0.69731,                0.23173,                0.35131,                0.14105,                 2.1454,                 1.8351,                 1.7649,              0.0010613,              0.0010613,              0.0010613
                    115,                  2.325,                 1.9909,                 1.9008,                0.73508,                0.22574,                0.36568,                0.15207,                  2.112,                 1.6422,                 1.7485,              0.0010608,              0.0010608,              0.0010608
                    116,                 2.3385,                 1.8739,                 1.7124,                0.69816,                0.35221,                0.41729,                0.17188,                 2.0879,                 1.5133,                 1.7641,              0.0010604,              0.0010604,              0.0010604
                    117,                 2.2546,                 1.9058,                 1.8531,                0.58542,                 0.3892,                0.41203,                0.16479,                 2.1457,                 1.4825,                 1.7999,                0.00106,                0.00106,                0.00106
                    118,                 2.2792,                 1.7419,                 1.6941,                0.57054,                0.37313,                0.36974,                0.13906,                 2.1979,                 1.5174,                 1.8257,              0.0010595,              0.0010595,              0.0010595
                    119,                 2.3059,                 1.8069,                  1.697,                0.79042,                0.33147,                0.39687,                0.14434,                 2.1169,                 1.4725,                 1.7972,              0.0010591,              0.0010591,              0.0010591
                    120,                 2.2555,                  1.808,                 1.7334,                0.72257,                0.41111,                0.43336,                0.16476,                 2.1084,                 1.4641,                 1.7705,              0.0010586,              0.0010586,              0.0010586
                    121,                 2.3119,                 1.8603,                 1.7511,                0.77768,                0.37751,                0.44849,                0.18019,                 2.1051,                 1.4854,                 1.7655,              0.0010582,              0.0010582,              0.0010582
                    122,                 2.2753,                 1.8926,                 1.8778,                0.76502,                0.39368,                0.45429,                   0.19,                 2.0818,                 1.5193,                 1.7574,              0.0010578,              0.0010578,              0.0010578
                    123,                 2.1447,                 1.6225,                 1.6307,                0.78628,                0.39997,                0.46073,                0.18899,                 2.0462,                 1.4596,                 1.7067,              0.0010573,              0.0010573,              0.0010573
                    124,                 2.2277,                 1.6716,                 1.6884,                0.71112,                0.36054,                0.44513,                 0.1716,                 2.0831,                 1.5354,                 1.7259,              0.0010569,              0.0010569,              0.0010569
                    125,                 2.2753,                 1.7329,                 1.7281,                0.69959,                0.34204,                0.42804,                 0.1761,                 2.0552,                 1.4927,                  1.712,              0.0010564,              0.0010564,              0.0010564
                    126,                 2.1558,                 1.7572,                 1.6792,                0.59141,                0.38977,                0.42028,                0.18111,                 2.0363,                 1.5085,                 1.7203,               0.001056,               0.001056,               0.001056
                    127,                  2.119,                 1.6032,                 1.6272,                0.60226,                0.36612,                0.41086,                0.17222,                 2.1357,                 1.5408,                 1.8154,              0.0010556,              0.0010556,              0.0010556
                    128,                 2.1774,                 1.7178,                  1.783,                0.39955,                  0.386,                0.36391,                0.14571,                 2.2456,                 1.7708,                 1.9206,              0.0010551,              0.0010551,              0.0010551
                    129,                 2.2068,                 1.7291,                 1.7404,                0.47712,                0.33658,                0.37726,                0.14998,                 2.1991,                 1.8108,                 1.9104,              0.0010547,              0.0010547,              0.0010547
                    130,                 2.1969,                 1.8013,                 1.7243,                0.51311,                0.47892,                0.45511,                0.18011,                 2.1218,                 1.6372,                 1.8173,              0.0010542,              0.0010542,              0.0010542
                    131,                 2.1548,                 1.8286,                 1.7332,                 0.5174,                0.52243,                 0.4263,                0.16377,                 2.1969,                 1.6709,                 1.8227,              0.0010538,              0.0010538,              0.0010538
                    132,                 2.1709,                 1.6702,                 1.6593,                0.40556,                0.56015,                0.36845,                0.13687,                 2.2695,                 1.7372,                   1.88,              0.0010534,              0.0010534,              0.0010534
                    133,                 2.1347,                 1.6628,                 1.5974,                0.65865,                0.32236,                0.39593,                0.14737,                  2.222,                 1.6122,                 1.8484,              0.0010529,              0.0010529,              0.0010529
