                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.6958,                 1.0573,                 1.3407,                0.76764,                0.52373,                0.54794,                0.26433,                  2.224,                 1.4564,                 1.8652,              0.0096911,              0.0096911,              0.0096911
                     80,                 1.6678,                  1.061,                 1.3509,                0.59274,                0.57977,                0.57524,                0.29622,                  2.228,                 1.4428,                 1.8329,              0.0096872,              0.0096872,              0.0096872
                     81,                 1.6744,                 1.0542,                 1.3511,                 0.6344,                0.61152,                0.61892,                0.29867,                  2.179,                 1.3672,                 1.8136,              0.0096832,              0.0096832,              0.0096832
                     82,                 1.6721,                 1.0355,                 1.3506,                0.59677,                0.60381,                0.62069,                0.29477,                 2.0938,                 1.3425,                  1.828,              0.0096792,              0.0096792,              0.0096792
                     83,                 1.6803,                 1.0565,                 1.3634,                0.57014,                 0.6063,                0.62253,                0.32029,                 2.1611,                 1.3966,                 1.7746,              0.0096753,              0.0096753,              0.0096753
                     84,                 1.6792,                 1.0352,                 1.3586,                0.44071,                0.55716,                0.54184,                0.27853,                 2.1068,                 1.3997,                 1.7604,              0.0096713,              0.0096713,              0.0096713
                     85,                 1.6587,                 1.0234,                 1.3561,                0.61071,                0.59683,                 0.6267,                0.28748,                 2.1336,                  1.408,                 1.7817,              0.0096674,              0.0096674,              0.0096674
                     86,                 1.6622,                 1.0394,                   1.33,                0.58756,                0.57047,                0.60414,                0.30609,                 2.0937,                 1.3078,                 1.7778,              0.0096634,              0.0096634,              0.0096634
                     87,                  1.642,                 1.0061,                 1.3257,                 0.7341,                0.46205,                0.53572,                 0.2813,                 2.1017,                 1.4573,                 1.7473,              0.0096594,              0.0096594,              0.0096594
                     88,                 1.6322,                 1.0145,                 1.3196,                 0.6649,                0.54867,                0.54216,                0.28254,                 2.3118,                 1.5391,                 1.8462,              0.0096555,              0.0096555,              0.0096555
                     89,                 1.6603,                 1.0251,                 1.3374,                0.59581,                0.58592,                0.62044,                0.30493,                 2.1161,                 1.4881,                 1.7583,              0.0096515,              0.0096515,              0.0096515
                     90,                 1.6515,                 1.0261,                 1.3277,                0.54804,                0.59336,                0.59486,                0.29096,                 2.0841,                 1.3345,                 1.7471,              0.0096476,              0.0096476,              0.0096476
                     91,                 1.6514,                 1.0067,                 1.3333,                0.60772,                0.55875,                0.58778,                0.31157,                 2.1456,                 1.4305,                 1.7781,              0.0096436,              0.0096436,              0.0096436
                     92,                 1.6531,                 1.0126,                 1.3226,                 0.5475,                0.61082,                 0.5928,                0.28376,                 2.0881,                 1.4646,                 1.7418,              0.0096396,              0.0096396,              0.0096396
                     93,                 1.6274,                0.99859,                 1.3195,                0.50486,                0.53605,                0.56585,                0.29551,                 2.0739,                 1.3679,                 1.7348,              0.0096357,              0.0096357,              0.0096357
                     94,                 1.6152,                0.98876,                 1.3327,                0.52049,                0.56627,                0.56666,                0.31334,                 2.0988,                 1.4627,                 1.6896,              0.0096317,              0.0096317,              0.0096317
                     95,                 1.6388,                  1.004,                 1.3321,                0.86057,                0.61744,                0.64488,                0.33586,                 1.9645,                 1.3511,                 1.6856,              0.0096278,              0.0096278,              0.0096278
                     96,                 1.6231,                0.98808,                 1.3375,                0.60256,                0.54005,                0.58119,                0.35632,                 1.9895,                  1.383,                 1.7101,              0.0096238,              0.0096238,              0.0096238
                     97,                 1.6239,                0.98536,                 1.3269,                0.84727,                0.57395,                0.64045,                0.34949,                 2.0357,                 1.4693,                 1.7029,              0.0096198,              0.0096198,              0.0096198
                     98,                 1.6137,                0.98699,                 1.3224,                0.55612,                0.57463,                0.57948,                0.32086,                 2.1048,                 1.3437,                 1.7425,              0.0096159,              0.0096159,              0.0096159
